Entity;Life expectancy at birth (historical)
Cote d'Ivoire;56.2
Cote d'Ivoire;56.7
Cote d'Ivoire;57.2
Cote d'Ivoire;57.8
Cote d'Ivoire;58.1
Cote d'Ivoire;58.5
Cote d'Ivoire;58.8
Croatia;74.6
Croatia;74.7
Croatia;74.6
Croatia;75.5
Croatia;75.4
Croatia;76.0
Croatia;75.9
Croatia;76.2
Croatia;76.4
Croatia;76.8
Croatia;77.2
Croatia;77.3
Croatia;77.8
Croatia;78.0
Croatia;77.6
Croatia;78.2
Croatia;78.1
Croatia;78.3
Cuba;76.4
Cuba;76.6
Cuba;76.8
Cuba;76.9
Cuba;77.0
Cuba;77.2
Cuba;77.3
Cuba;77.4
Cuba;77.5
Cuba;77.7
Cuba;77.8
Cuba;77.8
Cuba;77.9
Cuba;77.9
Cuba;77.8
Cuba;77.6
Cuba;77.5
Cuba;77.5
Cyprus;77.0
Cyprus;77.5
Cyprus;77.8
Cyprus;77.9
Cyprus;78.1
Cyprus;78.4
Cyprus;78.8
Cyprus;79.0
Cyprus;79.4
Cyprus;79.7
Cyprus;80.0
Cyprus;80.1
Cyprus;80.4
Cyprus;80.8
Cyprus;81.0
Cyprus;81.1
Cyprus;81.3
Cyprus;81.4
Czechia;75.3
Czechia;75.4
Czechia;75.4
Czechia;75.9
Czechia;76.2
Czechia;76.7
Czechia;76.9
Czechia;77.2
Czechia;77.3
Czechia;77.6
Czechia;77.8
Czechia;78.0
Czechia;78.2
Czechia;78.8
Czechia;78.6
Czechia;79.0
Czechia;79.0
Czechia;79.0
Democratic Republic of Congo;52.1
Democratic Republic of Congo;52.3
Democratic Republic of Congo;52.8
Democratic Republic of Congo;53.4
Democratic Republic of Congo;53.9
Democratic Republic of Congo;54.5
Democratic Republic of Congo;54.9
Democratic Republic of Congo;55.3
Democratic Republic of Congo;55.8
Democratic Republic of Congo;56.4
Democratic Republic of Congo;57.1
Democratic Republic of Congo;57.2
Democratic Republic of Congo;57.8
Democratic Republic of Congo;58.3
Democratic Republic of Congo;58.5
Democratic Republic of Congo;59.1
Democratic Republic of Congo;59.4
Democratic Republic of Congo;59.9
Denmark;77.0
Denmark;77.1
Denmark;77.4
Denmark;77.8
Denmark;78.2
Denmark;78.2
Denmark;78.3
Denmark;78.7
Denmark;79.0
Denmark;79.2
Denmark;79.8
Denmark;80.1
Denmark;80.3
Denmark;80.6
Denmark;80.7
Denmark;80.9
Denmark;81.1
Denmark;81.0
Dominica;71.7
Dominica;72.3
Dominica;71.4
Dominica;72.4
Dominica;72.3
Dominica;72.8
Dominica;71.9
Dominica;73.3
Dominica;72.2
Dominica;71.5
Dominica;69.7
Dominica;70.5
Dominica;68.9
Dominica;69.4
Dominica;68.7
Dominica;70.1
Dominica;67.5
Dominica;73.6
Dominican Republic;69.6
Dominican Republic;69.9
Dominican Republic;70.3
Dominican Republic;70.3
Dominican Republic;70.9
Dominican Republic;71.2
Dominican Republic;71.4
Dominican Republic;71.7
Dominican Republic;71.9
Dominican Republic;72.1
Dominican Republic;72.2
Dominican Republic;72.5
